ID_REF,probe_id,ilmn_id,chr,mapinfo,strand,design_type,color_channel,genome_build,refgene_name,refgene_accession,refgene_group,cpg_island_name,relation_to_cpg_island,phantom4_enhancers,hmm_island,regulatory_feature_name,regulatory_feature_group,dnase_hypersensitivity_name,open_chromatin_name,tfbs_name
cg09261072,cg09261072,cg09261072,15,79170388.0,F,II,,37,MORF4L1;MORF4L1;MORF4L1;MORF4L1;MORF4L1,NM_001265603;NM_001265604;NM_001265605;NM_206839;NM_006791,5'UTR;5'UTR;5'UTR;Body;Body,,,,,,,,,chr15:79163555-79172287
cg02404579,cg02404579,cg02404579,16,2526495.0,R,II,,37,TBC1D24;TBC1D24,NM_001199107;NM_020705,5'UTR;5'UTR,chr16:2521086-2525929,S_Shore,,,,,chr16:2526420-2526635,,
cg12950382,cg12950382,cg12950382,14,105176736.0,F,I,Red,37,INF2;INF2,NM_022489;NM_001031714,Body;Body,,,,14:104247518-104247873,,,,chr14:105171651-105183138,
cg02115394,cg02115394,cg02115394,13,115000168.0,F,I,Red,37,CDC16;CDC16,NM_003903;NM_001078645,TSS200;TSS200,chr13:115000148-115000874,Island,,13:114018251-114018976,13:115000009-115001429,Promoter_Associated,,chr13:114999804-115001809,
cg04118974,cg04118974,cg04118974,1,110359535.0,F,II,,37,,,,,,,,,,,chr1:110358589-110359613,chr1:110358172-110359649
cg01236347,cg01236347,cg01236347,12,101854174.0,F,II,,37,,,,,,,,,,,,chr12:101853396-101854407
cg22585117,cg22585117,cg22585117,11,124134126.0,F,II,,37,OR8G5;OR8G1,NM_001005198;NM_001002905,TSS1500;Body,,,,,,,,,
cg25552317,cg25552317,cg25552317,12,92379065.0,R,II,,37,,,,,,,,,,chr12:92378840-92379075,,
cg23875663,cg23875663,cg23875663,20,17299350.0,F,II,,37,PCSK2,NM_002594,Body,chr20:17296125-17296531,S_Shelf,,,,,,,
cg25813447,cg25813447,cg25813447,X,38660511.0,R,I,Grn,37,MID1IP1;MID1IP1,NM_001098791;NM_001098790,TSS200;TSS200,chrX:38662906-38664764,N_Shelf,,X:38545453-38545854,X:38660238-38661261,Promoter_Associated_Cell_type_specific,chrX:38660425-38660715,,
cg07659892,cg07659892,cg07659892,1,234659347.0,F,II,,37,,,,,,,,,,chr1:234659325-234659635,,
cg15995909,cg15995909,cg15995909,6,79669783.0,R,II,,37,PHIP,NM_017934,Body,,,,,,,,,
cg23728960,cg23728960,cg23728960,12,97542869.0,R,II,,37,,,,,,,,12:97542485-97543600,Unclassified,chr12:97542780-97543035,,
cg11993619,cg11993619,cg11993619,1,112286575.0,R,II,,37,FAM212B-AS1;FAM212B-AS1;FAM212B,NR_038952;NR_038951;NM_198926,Body;Body;Body,chr1:112281052-112283277,S_Shelf,,,,,chr1:112286280-112286735,,
cg07779434,cg07779434,cg07779434,X,14891349.0,R,I,Grn,37,MOSPD2;FANCB;FANCB,NM_152581;NM_152633;NM_001018113,TSS1500;TSS200;TSS200,chrX:14890991-14891734,Island,,X:14800913-14801685,X:14890952-14892003,Promoter_Associated,chrX:14891125-14891575,,
cg01925883,cg01925883,cg01925883,1,152062567.0,F,II,,37,TCHHL1,NM_001008536,TSS1500,,,,,,,,,chr1:152062245-152062978
cg03452160,cg03452160,cg03452160,17,77419883.0,F,II,,37,RBFOX3,NM_001082575,5'UTR,,,,,,,,chr17:77419862-77421709,
cg09430819,cg09430819,cg09430819,10,5607078.0,R,II,,37,,,,,,,,10:5605652-5607387,Promoter_Associated_Cell_type_specific,,chr10:5605259-5609003,
cg21784030,cg21784030,cg21784030,6,31615939.0,R,II,,37,BAT3;BAT3;BAT3;BAT3,NM_004639;NM_080702;NM_080703;NM_001098534,Body;Body;Body;Body,chr6:31619856-31620525,N_Shelf,,,,,,,
cg13871826,cg13871826,cg13871826,1,86045347.0,F,II,,37,CYR61;DDAH1,NM_001554;NM_001134445,TSS1500;TSS1500,chr1:86046362-86047240,N_Shore,,,,,chr1:86045200-86045650,,
cg13417420,cg13417420,cg13417420,12,12849159.0,R,I,Grn,37,GPR19,NM_006143,TSS200,chr12:12849067-12849270,Island,,12:12740229-12740497,12:12848817-12850273,Promoter_Associated,chr12:12849060-12849275,,
cg16474293,cg16474293,cg16474293,1,167657602.0,R,II,,37,RCSD1,NM_052862,Body,,,,,1:167656969-167658061,Unclassified,,chr1:167656832-167657915,chr1:167656810-167657968
cg14463239,cg14463239,cg14463239,5,179758238.0,F,II,,37,GFPT2,NM_005110,Body,,,,,,,,chr5:179757645-179759581,chr5:179757402-179759623
cg12480843,cg12480843,cg12480843,8,74791285.0,R,I,Red,37,UBE2W;UBE2W,NM_018299;NM_001001481,TSS200;TSS200,chr8:74790342-74791412,Island,,8:74952815-74954089,8:74791026-74791716,Promoter_Associated,chr8:74791040-74791330,,
cg26724186,cg26724186,cg26724186,19,3676340.0,F,I,Red,37,PIP5K1C,NM_012398,Body,chr19:3676299-3676583,Island,,19:3627300-3627417,,,,chr19:3674897-3676683,
cg05301794,cg05301794,cg05301794,14,66583879.0,F,II,,37,,,,,,,,,,,,
cg08829765,cg08829765,cg08829765,3,196229583.0,R,II,,37,RNF168,NM_152617,Body,chr3:196229810-196230791,N_Shore,,,3:196229440-196231013,Promoter_Associated,chr3:196229400-196229595,,
cg10855276,cg10855276,cg10855276,13,113698688.0,F,II,,37,MCF2L;MCF2L,NM_001112732;NM_024979,Body;Body,chr13:113701833-113702280,N_Shelf,,13:112746552-112746736,,,,chr13:113698482-113701114,
cg24133276,cg24133276,cg24133276,5,65222326.0,R,I,Grn,37,ERBB2IP;ERBB2IP,NM_001006600;NM_018695,TSS200;TSS200,chr5:65220759-65222416,Island,high-CpG:65257248-65258324,5:65256527-65258386,5:65222151-65222522,Promoter_Associated,chr5:65221405-65222775,,
cg12406992,cg12406992,cg12406992,1,156048214.0,R,II,,37,MEX3A,NM_001093725,Body,chr1:156046343-156047384,S_Shore,,,,,chr1:156047185-156048815,,
cg14370485,cg14370485,cg14370485,3,168864425.0,F,II,,37,MECOM;MECOM;MECOM;MECOM;MECOM;MECOM;MECOM,NM_005241;NM_001163999;NM_001105077;NM_001105078;NM_001164000;NM_001205194;NM_004991,TSS1500;TSS1500;TSS1500;TSS200;5'UTR;5'UTR;Body,chr3:168864030-168864449,Island,,3:170346740-170347128,,,chr3:168863760-168864455,,
cg00617867,cg00617867,cg00617867,5,140242373.0,R,I,Red,37,PCDHA6;PCDHA2;PCDHA1;PCDHA9;PCDHA7;PCDHA1;PCDHA6;PCDHA5;PCDHA10;PCDHA3;PCDHA4;PCDHA10;PCDHA8,NM_031849;NM_018905;NM_031411;NM_031857;NM_018910;NM_018900;NM_018909;NM_018908;NM_018901;NM_018906;NM_018907;NM_031860;NM_018911,Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,chr5:140242073-140243007,Island,,5:140222060-140223191,,,,,
cg05493344,cg05493344,cg05493344,9,136567064.0,R,II,,37,SARDH;SARDH,NM_001134707;NM_007101,Body;Body,chr9:136567684-136568146,N_Shore,,9:135556433-135557967,,,chr9:136566745-136567395,,
cg13773083,cg13773083,cg13773083,2,220197274.0,F,I,Red,37,RESP18,NM_001007089,Body,chr2:220196431-220196768,S_Shore,,2:219905290-219905900,,,chr2:220197240-220197715,,
cg05469734,cg05469734,cg05469734,17,30347851.0,R,II,,37,LRRC37B,NM_052888,TSS1500,,,,,,,chr17:30347685-30348035,,
cg05650511,cg05650511,cg05650511,1,112024620.0,R,II,,37,,,,,,,,1:112024169-112024887,Unclassified,chr1:112024340-112024695,,
cg07393050,cg07393050,cg07393050,X,122933042.0,F,II,,37,,,,,,,,,,chrX:122932825-122933095,,
cg05530295,cg05530295,cg05530295,12,94828231.0,F,II,,37,CEP83;CEP83,NM_016122;NM_001042399,5'UTR;5'UTR,,,,,,,chr12:94827660-94828270,,
cg10136773,cg10136773,cg10136773,11,94906134.0,R,II,,37,SESN3,NM_144665,3'UTR,,,,,,,,,
